capture,mode,action,pid,pid_after,action_start_ns,duration_s,frames,jank_percent,p95_ms
none-baseline-r1-group-back,none,group-back,13580,13580,322968850000000,7,29.0,31.03,101.0
none-baseline-r1-group-open,none,group-open,13580,13580,322925480000000,7,166.0,35.54,133.0
none-baseline-r1-reader-back,none,reader-back,13580,13580,322947250000000,7,30.0,36.67,200.0
none-baseline-r1-reader-open,none,reader-open,13580,13580,322934990000000,7,229.0,20.52,65.0
none-baseline-r1-scroll,none,scroll,13580,13580,322956840000000,10,62.0,62.9,400.0
none-baseline-r2-group-back,none,group-back,14442,14442,323089260000000,7,32.0,28.12,81.0
none-baseline-r2-group-open,none,group-open,14442,14442,323046050000000,7,196.0,8.16,61.0
none-baseline-r2-reader-back,none,reader-back,14442,14442,323067600000000,7,29.0,41.38,200.0
none-baseline-r2-reader-open,none,reader-open,14442,14442,323055430000000,7,238.0,21.43,65.0
none-baseline-r2-scroll,none,scroll,14442,14442,323077180000000,10,64.0,60.94,350.0
none-fixed-r1-group-back,none,group-back,12917,12917,322814670000000,7,27.0,37.04,133.0
none-fixed-r1-group-open,none,group-open,12917,12917,322772020000000,7,174.0,20.11,65.0
none-fixed-r1-reader-back,none,reader-back,12917,12917,322793120000000,7,30.0,26.67,200.0
none-fixed-r1-reader-open,none,reader-open,12917,12917,322781200000000,7,230.0,26.09,93.0
none-fixed-r1-scroll,none,scroll,12917,12917,322802580000000,10,79.0,67.09,200.0
none-fixed-r2-group-back,none,group-back,13992,13992,323029250000000,7,27.0,33.33,117.0
none-fixed-r2-group-open,none,group-open,13992,13992,322985700000000,7,179.0,26.82,101.0
none-fixed-r2-reader-back,none,reader-back,13992,13992,323007330000000,7,34.0,14.71,133.0
none-fixed-r2-reader-open,none,reader-open,13992,13992,322995180000000,7,222.0,18.92,69.0
none-fixed-r2-scroll,none,scroll,13992,13992,323017160000000,10,96.0,58.33,150.0
