capture,pass_index,retained_nodes,dirty_nodes,host_requests,taffy_miss,taffy_hit,taffy_root_ns,snapshot_ns,cow_ns
perfetto-fixed-r1-group-back,0,295,5,0,33,28,391542,772042,2542
perfetto-fixed-r1-group-open,0,322,32,3,176,182,3616250,749708,2875
perfetto-fixed-r1-group-open,1,322,12,1,77,138,977375,1659334,167
perfetto-fixed-r1-group-open,2,322,12,0,66,142,2951916,1990500,375
perfetto-fixed-r1-group-open,3,322,10,0,49,59,1984000,1645666,3583
perfetto-fixed-r1-group-open,4,520,220,167,1804,2979,41422416,2370500,5292
perfetto-fixed-r1-group-open,5,520,131,101,1797,3301,41687000,1398750,792
perfetto-fixed-r1-group-open,6,520,131,6,1623,3417,42280833,2927166,458
perfetto-fixed-r1-group-open,7,520,14,2,96,586,2740917,1220875,209
perfetto-fixed-r1-group-open,8,520,14,0,96,586,4925542,2567625,375
perfetto-fixed-r1-group-open,9,492,12,0,91,645,4929125,2170791,3958
perfetto-fixed-r1-reader-back,0,492,27,0,97,158,3788333,3441083,5292
perfetto-fixed-r1-reader-back,1,499,32,5,210,1015,19622625,3375791,4333
perfetto-fixed-r1-reader-back,2,499,14,3,143,759,10506917,4891583,625
perfetto-fixed-r1-reader-back,3,499,14,0,105,579,7526917,3099500,1625
perfetto-fixed-r1-reader-back,4,492,11,0,58,462,3067583,2809584,9667
perfetto-fixed-r1-reader-open,0,499,13,0,49,30,1100209,2936708,4167
perfetto-fixed-r1-reader-open,1,499,33,0,91,322,1984292,2121917,2458
perfetto-fixed-r1-reader-open,2,563,93,0,648,618,9747167,3066958,1875
perfetto-fixed-r1-reader-open,3,509,29,0,69,105,4251333,3744834,4000
perfetto-fixed-r1-reader-open,4,509,38,0,160,134,5093708,3132208,3208
perfetto-fixed-r1-reader-open,5,512,31,0,94,134,2530583,2947000,3541
perfetto-fixed-r1-scroll,0,499,18,5,145,746,8268875,3249958,3625
perfetto-fixed-r1-scroll,1,499,14,3,143,759,8874666,3115125,750
perfetto-fixed-r1-scroll,2,499,14,0,105,579,2958917,1355500,416
perfetto-fixed-r1-scroll,3,506,18,5,148,765,5002000,3229750,2750
perfetto-fixed-r1-scroll,4,506,14,3,144,780,4179459,2786625,666
perfetto-fixed-r1-scroll,5,506,14,0,105,593,5615417,4147750,4083
perfetto-fixed-r1-scroll,6,527,32,15,265,980,7529250,2305958,2833
perfetto-fixed-r1-scroll,7,527,22,9,263,1015,7703459,1660167,750
perfetto-fixed-r1-scroll,8,527,22,0,209,831,4944542,1553917,292
perfetto-fixed-r1-scroll,9,527,10,0,49,59,1107334,3040958,2292
perfetto-fixed-r1-scroll,10,541,25,10,210,946,5318167,1425291,2042
perfetto-fixed-r1-scroll,11,541,18,6,208,970,6866333,1874041,708
perfetto-fixed-r1-scroll,12,541,18,0,157,761,7103250,2795917,166
perfetto-fixed-r1-scroll,13,555,26,10,214,986,8874209,1799709,2834
perfetto-fixed-r1-scroll,14,555,18,6,210,1012,8949875,1487500,416
perfetto-fixed-r1-scroll,15,555,18,0,157,789,6232750,2994458,792
perfetto-fixed-r1-scroll,16,562,19,5,158,931,7113709,1903833,3833
perfetto-fixed-r1-scroll,17,562,14,3,155,945,8039375,2705500,750
perfetto-fixed-r1-scroll,18,562,14,0,106,704,6575125,4932417,750
perfetto-fixed-r1-scroll,19,562,12,0,101,855,4668334,1382125,3667
perfetto-fixed-r1-scroll,20,569,18,5,157,954,9746916,3222584,3042
perfetto-fixed-r1-scroll,21,569,14,3,155,967,9494292,1824375,541
perfetto-fixed-r1-scroll,22,569,14,0,105,719,2771917,1947167,208
perfetto-fixed-r1-scroll,23,569,10,0,49,59,2766833,1386250,4500
perfetto-fixed-r1-scroll,24,583,25,10,216,1072,12400375,1709500,4292
perfetto-fixed-r1-scroll,25,583,18,6,214,1096,11651667,1592959,458
perfetto-fixed-r1-scroll,26,583,18,0,157,845,7401875,3661958,1041
perfetto-fixed-r1-scroll,27,597,26,10,220,1112,8292834,3164083,3375
perfetto-fixed-r1-scroll,28,597,18,6,216,1138,11879709,3853125,167
perfetto-fixed-r1-scroll,29,597,18,0,157,873,8579417,1609542,625
perfetto-fixed-r1-scroll,30,604,19,5,164,1057,7254000,3342083,4083
perfetto-fixed-r1-scroll,31,604,14,3,160,1072,9733667,2067750,792
perfetto-fixed-r1-scroll,32,604,14,0,105,789,7131125,3600667,375
perfetto-fixed-r1-scroll,33,625,33,15,281,1272,13597000,1377667,3333
perfetto-fixed-r1-scroll,34,625,22,9,277,1309,10205666,1678541,459
perfetto-fixed-r1-scroll,35,625,22,0,209,1027,5632375,2733791,250
perfetto-fixed-r1-scroll,36,625,10,0,49,59,1248375,2977583,2542
perfetto-fixed-r1-scroll,37,632,18,5,166,1143,11594625,1998917,4458
perfetto-fixed-r1-scroll,38,632,14,3,164,1156,9939667,2183000,1459
perfetto-fixed-r1-scroll,39,632,14,0,105,845,6971417,3983042,166
perfetto-fixed-r1-scroll,40,632,12,0,111,1065,7002750,3707250,3458
perfetto-fixed-r1-scroll,41,646,25,10,226,1260,8884083,4024209,3458
perfetto-fixed-r1-scroll,42,646,18,6,224,1284,8404250,3826875,709
perfetto-fixed-r1-scroll,43,646,18,0,157,971,5382000,3131375,375
perfetto-fixed-r1-scroll,44,660,26,10,229,1301,11147583,2774875,3292
perfetto-fixed-r1-scroll,45,660,18,6,225,1327,10406916,2264334,500
perfetto-fixed-r1-scroll,46,660,18,0,157,999,7366208,3135209,542
perfetto-fixed-r1-scroll,47,669,27,10,232,1320,9303500,3698417,4125
perfetto-fixed-r1-scroll,48,669,18,6,226,1348,11628959,3243542,417
perfetto-fixed-r1-scroll,49,669,18,0,157,1013,9035667,3613334,417
perfetto-fixed-r1-scroll,50,676,34,15,290,1417,9991959,2191917,4125
perfetto-fixed-r1-scroll,51,676,22,9,284,1456,13437291,3743250,166
perfetto-fixed-r1-scroll,52,676,22,0,209,1125,9078833,3825375,292
perfetto-fixed-r1-scroll,53,676,10,0,49,59,3093375,3595458,4125
perfetto-fixed-r1-scroll,54,669,26,10,230,1322,7475750,1737250,2625
perfetto-fixed-r1-scroll,55,669,18,6,226,1348,8748667,1945458,291
perfetto-fixed-r1-scroll,56,669,18,0,157,1013,7266583,2017542,1375
perfetto-fixed-r1-scroll,57,669,10,0,49,59,1861541,5773459,2958
perfetto-fixed-r1-scroll,58,669,26,10,230,1322,11881209,1977834,4000
perfetto-fixed-r1-scroll,59,669,18,6,226,1348,12797667,4308334,583
perfetto-fixed-r1-scroll,60,669,18,0,157,1013,5188208,4131542,958
perfetto-fixed-r1-scroll,61,669,27,10,232,1320,10789833,4119167,5125
perfetto-fixed-r1-scroll,62,669,18,6,226,1348,8668917,2256875,500
perfetto-fixed-r1-scroll,63,669,18,0,157,1013,6695250,3497834,417
perfetto-fixed-r1-scroll,64,669,27,10,232,1320,15103250,4259208,4291
perfetto-fixed-r1-scroll,65,669,18,6,226,1348,10638458,2294583,541
perfetto-fixed-r1-scroll,66,669,18,0,157,1013,5407417,3951458,375
perfetto-fixed-r1-scroll,67,669,12,0,116,1170,7318500,3908917,2750
perfetto-fixed-r1-scroll,68,676,33,15,288,1419,11090875,3455334,2667
perfetto-fixed-r1-scroll,69,676,22,9,284,1456,14522500,2501792,833
perfetto-fixed-r1-scroll,70,676,22,0,209,1125,11418875,3509625,250
perfetto-fixed-r1-scroll,71,669,12,0,60,810,7439458,4635792,3750
perfetto-fixed-r1-scroll,72,676,26,10,231,1343,11129875,2069250,3375
perfetto-fixed-r1-scroll,73,676,18,6,227,1369,7772959,1890042,209
perfetto-fixed-r1-scroll,74,676,18,0,157,1027,6306250,3945375,417
perfetto-fixed-r1-scroll,75,669,27,10,232,1320,10341041,4298875,2709
perfetto-fixed-r1-scroll,76,669,18,6,226,1348,14797041,2221625,542
perfetto-fixed-r1-scroll,77,669,18,0,157,1013,9087042,4352291,708
perfetto-fixed-r1-scroll,78,669,26,10,230,1322,8864334,4401750,3834
perfetto-fixed-r1-scroll,79,669,18,6,226,1348,14115250,4290208,500
perfetto-fixed-r1-scroll,80,669,18,0,157,1013,5893125,2626750,458
perfetto-fixed-r1-scroll,81,676,26,10,231,1343,11855750,3173750,3333
perfetto-fixed-r1-scroll,82,676,18,6,227,1369,11118000,3122709,1417
