variant,iteration,action,p95_ms,frames
baseline,1,reader-open,150,38
baseline,1,reader-back,150,32
baseline,2,reader-open,133,41
baseline,2,reader-back,150,31
baseline,3,reader-open,150,37
baseline,3,reader-back,101,32
baseline,4,reader-open,150,39
baseline,4,reader-back,150,33
baseline,5,reader-open,117,42
baseline,5,reader-back,69,33
baseline,6,reader-open,150,41
baseline,6,reader-back,200,31
fixed,1,reader-open,150,39
fixed,1,reader-back,117,30
fixed,2,reader-open,81,45
fixed,2,reader-back,93,31
fixed,3,reader-open,101,42
fixed,3,reader-back,150,30
fixed,4,reader-open,150,40
fixed,4,reader-back,117,33
fixed,5,reader-open,85,44
fixed,5,reader-back,150,31
fixed,6,reader-open,89,42
fixed,6,reader-back,77,28
