capture,chain,indices,requests,taffy_misses,taffy_ms
perfetto-cache-r1-group-back,0,0,0,33,0.6545
perfetto-cache-r1-group-open,0,0 / 1 / 2,4 / 2 / 0,175 / 71 / 66,7.15275
perfetto-cache-r1-group-open,1,3,0,49,1.77575
perfetto-cache-r1-group-open,2,4 / 5 / 6 / 7 / 8 / 9,413 / 366 / 135 / 5 / 1 / 0,1800 / 1938 / 1654 / 1615 / 107 / 70,178.524291
perfetto-cache-r1-group-open,3,10,0,89,4.459292
perfetto-cache-r1-reader-back,0,0,0,96,5.820167
perfetto-cache-r1-reader-back,1,1 / 2 / 3 / 4,13 / 12 / 4 / 0,205 / 146 / 106 / 105,18.338458
perfetto-cache-r1-reader-back,2,5,0,58,2.520375
perfetto-cache-r1-reader-open,0,0,0,49,1.916542
perfetto-cache-r1-reader-open,1,1,0,79,1.049583
perfetto-cache-r1-reader-open,2,2,0,648,7.789792
perfetto-cache-r1-reader-open,3,3,0,69,1.172209
perfetto-cache-r1-reader-open,4,4,0,160,3.240708
perfetto-cache-r1-reader-open,5,5,0,94,3.862916
perfetto-cache-r1-scroll,0,0 / 1 / 2 / 3,13 / 12 / 4 / 0,145 / 146 / 106 / 105,22.091457
perfetto-cache-r1-scroll,1,4 / 5 / 6 / 7,39 / 36 / 12 / 0,262 / 273 / 212 / 209,33.372208
perfetto-cache-r1-scroll,2,8 / 9 / 10 / 11,39 / 36 / 12 / 0,265 / 276 / 212 / 209,23.179291
perfetto-cache-r1-scroll,3,12,0,49,0.446833
perfetto-cache-r1-scroll,4,13 / 14 / 15 / 16,39 / 36 / 12 / 0,268 / 279 / 212 / 209,21.942168
perfetto-cache-r1-scroll,5,17,0,99,3.1015
perfetto-cache-r1-scroll,6,18 / 19 / 20 / 21,13 / 12 / 4 / 0,155 / 156 / 106 / 105,22.34725
perfetto-cache-r1-scroll,7,22,0,49,1.611875
perfetto-cache-r1-scroll,8,23 / 24 / 25 / 26,26 / 24 / 8 / 0,214 / 220 / 159 / 157,30.266542
perfetto-cache-r1-scroll,9,27 / 28 / 29 / 30,26 / 24 / 8 / 0,218 / 222 / 159 / 157,22.142709
perfetto-cache-r1-scroll,10,31 / 32 / 33 / 34,13 / 12 / 4 / 0,162 / 161 / 106 / 105,29.577207
perfetto-cache-r1-scroll,11,35 / 36 / 37 / 38,39 / 36 / 12 / 0,279 / 288 / 212 / 209,38.762291
perfetto-cache-r1-scroll,12,39,0,49,0.931833
perfetto-cache-r1-scroll,13,40 / 41 / 42 / 43,39 / 36 / 12 / 0,280 / 291 / 212 / 209,31.863167
perfetto-cache-r1-scroll,14,44,0,49,0.472917
perfetto-cache-r1-scroll,15,45 / 46 / 47 / 48,26 / 24 / 8 / 0,225 / 231 / 159 / 157,36.881374
perfetto-cache-r1-scroll,16,49 / 50 / 51 / 52,26 / 24 / 8 / 0,232 / 232 / 159 / 157,33.321499
perfetto-cache-r1-scroll,17,53 / 54 / 55 / 56,26 / 24 / 8 / 0,233 / 233 / 159 / 157,34.855833
perfetto-cache-r1-scroll,18,57,0,49,1.094041
perfetto-cache-r1-scroll,19,58 / 59 / 60 / 61,26 / 24 / 8 / 0,230 / 232 / 159 / 157,20.199127
perfetto-cache-r1-scroll,20,62,0,60,2.139625
perfetto-cache-r1-scroll,21,63 / 64 / 65 / 66,13 / 12 / 4 / 0,173 / 170 / 106 / 105,25.523417
perfetto-cache-r1-scroll,22,67 / 68 / 69 / 70,26 / 24 / 8 / 0,232 / 232 / 159 / 157,28.029959
perfetto-cache-r1-scroll,23,71 / 72 / 73 / 74,13 / 12 / 4 / 0,175 / 170 / 106 / 105,25.331916
perfetto-cache-r1-scroll,24,75 / 76 / 77 / 78,39 / 36 / 12 / 0,289 / 294 / 212 / 209,43.483501
perfetto-cache-r1-scroll,25,79,0,49,1.184833
perfetto-cache-r1-scroll,26,80 / 81 / 82 / 83,52 / 48 / 16 / 0,345 / 357 / 265 / 261,45.387292
perfetto-cache-r1-scroll,27,84,0,118,7.876041
perfetto-cache-r1-scroll,28,85 / 86 / 87 / 88,26 / 24 / 8 / 0,230 / 232 / 159 / 157,29.381792
perfetto-cache-r1-scroll,29,89 / 90 / 91 / 92,52 / 48 / 16 / 0,347 / 357 / 265 / 261,34.088709
perfetto-cache-r1-scroll,30,93 / 94 / 95 / 96,26 / 24 / 8 / 0,230 / 232 / 159 / 157,40.926541
perfetto-cache-r1-scroll,31,97 / 98 / 99 / 100,39 / 36 / 12 / 0,287 / 294 / 212 / 209,48.083042
perfetto-cache-r1-scroll,32,101 / 102 / 103 / 104,52 / 48 / 16 / 0,344 / 356 / 265 / 261,51.072041
perfetto-cache-r2-group-back,0,0,0,33,0.128542
perfetto-cache-r2-group-open,0,0 / 1 / 2,4 / 2 / 0,175 / 71 / 66,4.094916
perfetto-cache-r2-group-open,1,3,0,49,0.453167
perfetto-cache-r2-group-open,2,4 / 5 / 6 / 7 / 8 / 9,413 / 366 / 135 / 5 / 1 / 0,1800 / 1938 / 1654 / 1615 / 107 / 70,169.968334
perfetto-cache-r2-group-open,3,10,0,89,3.48625
perfetto-cache-r2-reader-back,0,0,0,96,3.720333
perfetto-cache-r2-reader-back,1,1 / 2 / 3 / 4,13 / 12 / 4 / 0,205 / 146 / 106 / 105,33.537166
perfetto-cache-r2-reader-back,2,5,0,58,3.250584
perfetto-cache-r2-reader-open,0,0,0,49,0.568333
perfetto-cache-r2-reader-open,1,1,0,79,2.959125
perfetto-cache-r2-reader-open,2,2,0,648,9.555333
perfetto-cache-r2-reader-open,3,3,0,69,1.226542
perfetto-cache-r2-reader-open,4,4,0,160,1.584709
perfetto-cache-r2-reader-open,5,5,0,94,0.882875
perfetto-cache-r2-scroll,0,0 / 1 / 2 / 3,13 / 12 / 4 / 0,145 / 146 / 106 / 105,21.369292
perfetto-cache-r2-scroll,1,4 / 5 / 6 / 7,26 / 24 / 8 / 0,204 / 210 / 159 / 157,35.731333
perfetto-cache-r2-scroll,2,8 / 9 / 10 / 11,26 / 24 / 8 / 0,206 / 212 / 159 / 157,8.385459
perfetto-cache-r2-scroll,3,12,0,49,0.199917
perfetto-cache-r2-scroll,4,13 / 14 / 15 / 16,39 / 36 / 12 / 0,266 / 277 / 212 / 209,7.077041
perfetto-cache-r2-scroll,5,17,0,49,0.226584
perfetto-cache-r2-scroll,6,18 / 19 / 20 / 21,13 / 12 / 4 / 0,153 / 154 / 106 / 105,4.905668
perfetto-cache-r2-scroll,7,22,0,98,1.289041
perfetto-cache-r2-scroll,8,23 / 24 / 25 / 26,26 / 24 / 8 / 0,212 / 218 / 159 / 157,5.412501
perfetto-cache-r2-scroll,9,27,0,49,0.395709
perfetto-cache-r2-scroll,10,28 / 29 / 30 / 31,13 / 12 / 4 / 0,156 / 157 / 106 / 105,4.121375
perfetto-cache-r2-scroll,11,32,0,49,0.201041
perfetto-cache-r2-scroll,12,33 / 34 / 35 / 36,13 / 12 / 4 / 0,157 / 158 / 106 / 105,4.224751
perfetto-cache-r2-scroll,13,37,0,49,0.251
perfetto-cache-r2-scroll,14,38 / 39 / 40 / 41,13 / 12 / 4 / 0,158 / 159 / 106 / 105,4.277792
perfetto-cache-r2-scroll,15,42,0,60,0.7635
perfetto-cache-r2-scroll,16,43 / 44 / 45 / 46,13 / 12 / 4 / 0,159 / 160 / 106 / 105,4.258709
perfetto-cache-r2-scroll,17,47,0,49,0.187625
perfetto-cache-r2-scroll,18,48 / 49 / 50 / 51,13 / 12 / 4 / 0,160 / 161 / 106 / 105,4.379042
perfetto-cache-r2-scroll,19,52,0,49,0.211584
perfetto-cache-r2-scroll,20,53 / 54 / 55 / 56,13 / 12 / 4 / 0,161 / 162 / 106 / 105,4.342417
perfetto-cache-r2-scroll,21,57,0,106,1.213042
perfetto-cache-r2-scroll,22,58 / 59 / 60 / 61,13 / 12 / 4 / 0,162 / 163 / 106 / 105,4.507417
perfetto-cache-r2-scroll,23,62,0,49,0.193458
perfetto-cache-r2-scroll,24,63 / 64 / 65 / 66,13 / 12 / 4 / 0,163 / 164 / 106 / 105,4.712501
perfetto-cache-r2-scroll,25,67,0,108,1.162625
