capture,pass,blocking,dirty_nodes,host_requests,retained_nodes,snapshot_nodes,sync_children,taffy_hit,taffy_miss,miss_nodes,hit_nodes,cow_ms,snapshot_ms,taffy_root_ms,invalidate_measurement,measure_calls,measure_outstanding,style_changes,measure_cache_hit
perfetto-cache-r1-group-back,0,0,5,0,295,295,169,28,33,6,7,0.001834,0.851542,0.6545,,,,,
perfetto-cache-r1-group-open,0,1,32,4,322,322,74,182,175,33,30,0.002792,0.8795,3.199875,1,7,3,27,
perfetto-cache-r1-group-open,1,1,12,2,322,322,,142,71,18,20,0.000708,1.435958,2.190958,1,7,1,,4
perfetto-cache-r1-group-open,2,0,12,0,322,322,,142,66,13,18,0.000459,1.905167,1.761917,1,7,,,7
perfetto-cache-r1-group-open,3,0,10,0,322,322,1,59,49,11,10,0.002875,1.575,1.77575,,,,1,
perfetto-cache-r1-group-open,4,1,220,413,520,520,397,2981,1800,225,225,0.00225,2.482333,49.777708,32,414,1,179,
perfetto-cache-r1-group-open,5,1,131,366,520,520,,3450,1938,194,225,0.000708,1.292041,40.8865,32,675,1,,308
perfetto-cache-r1-group-open,6,1,131,135,520,520,,3386,1654,165,196,0.0015,1.765666,46.421583,32,594,1,,458
perfetto-cache-r1-group-open,7,1,131,5,520,520,,3417,1615,132,194,0.001,2.435417,35.819,32,588,1,,582
perfetto-cache-r1-group-open,8,1,15,1,520,520,,575,107,16,49,0.000375,0.974375,1.877917,3,37,,,36
perfetto-cache-r1-group-open,9,0,12,0,520,520,,544,70,13,47,0.000375,2.421667,3.741583,1,11,,,11
perfetto-cache-r1-group-open,10,0,12,0,492,492,14,647,89,42,94,0.002333,1.170708,4.459292,,,,2,
perfetto-cache-r1-reader-back,0,0,27,0,492,492,24,158,96,31,52,0.003458,2.2915,5.820167,,16,,2,16
perfetto-cache-r1-reader-back,1,1,32,13,499,499,17,989,205,66,122,0.00175,3.616,5.497875,1,14,,10,1
perfetto-cache-r1-reader-back,2,1,14,12,499,499,,766,146,47,102,0.000583,1.006791,2.700375,1,22,,,10
perfetto-cache-r1-reader-back,3,1,14,4,499,499,,578,106,16,47,0.002209,1.398167,5.731167,1,19,,,15
perfetto-cache-r1-reader-back,4,0,14,0,499,499,,579,105,15,47,0.000541,3.022791,4.409041,1,19,,,19
perfetto-cache-r1-reader-back,5,0,11,0,492,492,4,462,58,12,41,0.003958,2.449542,2.520375,,,,1,
perfetto-cache-r1-reader-open,0,0,13,0,499,499,20,30,49,14,9,0.004208,3.962291,1.916542,,,,8,
perfetto-cache-r1-reader-open,1,0,33,0,499,499,2,268,79,20,25,0.002916,1.03175,1.049583,,1,,2,1
perfetto-cache-r1-reader-open,2,0,93,0,563,563,139,618,648,77,74,0.001875,1.822291,7.789792,,,,68,
perfetto-cache-r1-reader-open,3,0,29,0,509,509,38,105,69,13,14,0.00375,2.863458,1.172209,,,,2,
perfetto-cache-r1-reader-open,4,0,38,0,509,509,26,134,160,22,21,0.002958,2.089833,3.240708,,,,11,
perfetto-cache-r1-reader-open,5,0,31,0,512,512,7,134,94,15,18,0.004,3.715166,3.862916,,,,4,
perfetto-cache-r1-scroll,0,1,18,13,499,499,14,746,145,48,102,0.003792,2.377042,7.660042,1,13,,7,
perfetto-cache-r1-scroll,1,1,14,12,499,499,,766,146,47,102,0.000875,2.661,4.760916,1,22,,,10
perfetto-cache-r1-scroll,2,1,14,4,499,499,,578,106,16,47,0.000542,2.510917,4.333166,1,19,,,15
perfetto-cache-r1-scroll,3,0,14,0,499,499,,579,105,15,47,0.000458,2.017083,5.337333,1,19,,,19
