variant,action,frames,samples,sampled_main_ms,surface_clone_percent,surface_drop_percent,measurement_apply_percent,layout_compute_percent,android_validate_percent,android_delete_percent
baseline,group-open,69.0,783,1957.5,15.964240102171138,8.173690932311622,1.7879948914431674,3.7037037037037037,2.2988505747126435,0.2554278416347382
baseline,reader-open,33.0,435,1087.5,20.45977011494253,10.344827586206897,0.0,2.528735632183908,3.9080459770114944,1.3793103448275863
baseline,reader-back,27.0,278,695.0,16.18705035971223,7.913669064748201,2.5179856115107913,20.503597122302157,2.8776978417266186,1.079136690647482
baseline,scroll,60.0,1905,4762.5,7.5065616797900265,4.671916010498688,6.771653543307087,40.36745406824147,1.942257217847769,0.8398950131233596
baseline,group-back,27.0,225,562.5,16.444444444444443,10.222222222222221,0.0,0.4444444444444444,13.777777777777779,8.444444444444445
fixed,group-open,98.0,171,427.5,0.0,1.1695906432748537,0.5847953216374269,2.3391812865497075,2.9239766081871346,0.0
fixed,reader-open,204.0,1552,3880.0,2.2551546391752577,2.770618556701031,0.0,0.7087628865979382,4.252577319587629,0.0
fixed,reader-back,27.0,242,605.0,0.8264462809917356,1.6528925619834711,0.0,25.206611570247933,1.2396694214876034,0.4132231404958678
fixed,scroll,54.0,1822,4555.0,0.38419319429198684,2.469813391877058,0.6037321624588364,44.456641053787045,1.1525795828759604,0.0
fixed,group-back,28.0,180,450.0,0.5555555555555556,1.1111111111111112,0.0,1.1111111111111112,2.7777777777777777,1.1111111111111112
