variant,action,run,frames,tick_count,worst_tick_ms,worst_tick_cpu_running_ms,layout_passes_in_worst_tick,layout_in_worst_tick_ms,max_android_apply_ms,style_clone_count,style_clone_avg_ms,style_apply_count,style_apply_avg_ms,mounted_entries
baseline,group-open,1,123.0,130,714.230876,703.453918,6,199.890375,92.128125,131,5.642199442748091,263,6.417868064638784,31
baseline,group-open,2,52.0,36,169.230833,166.836083,6,50.66550099999999,13.86275,38,1.7770811842105263,75,2.218512226666667,31
baseline,reader-open,1,172.0,144,215.91825,212.986418,1,6.587875,94.932709,142,7.965484457746479,296,6.528529560810811,25
baseline,reader-open,2,27.0,18,50.023542,48.405124,1,1.933125,18.802375,15,2.3221917333333333,44,1.5857869545454546,25
baseline,reader-back,1,25.0,11,231.5435,225.439794,4,150.583917,53.960958,10,11.4432375,29,7.071303241379311,1
baseline,reader-back,2,32.0,16,17.710834,17.552291,1,9.369417,6.247,16,1.695205875,39,1.270076846153846,0
baseline,scroll,1,61.0,39,252.356708,250.295499,4,126.61925,38.022583,49,8.26235118367347,156,5.409859262820513,57
baseline,scroll,2,165.0,127,39.586333,38.558792,4,24.154626,3.527667,109,2.000453385321101,425,0.9164979552941176,62
baseline,group-back,1,24.0,10,117.871083,117.684749,1,0.779292,113.600667,8,10.915890625,41,4.274057926829268,0
baseline,group-back,2,35.0,19,34.65575,34.581542,1,0.3525,32.920916,18,2.744886611111111,59,1.5325431016949154,0
fixed,group-open,1,180.0,189,632.108292,631.448834,6,202.05458400000003,65.267541,191,0.2513210628272251,381,2.1766967349081363,31
fixed,group-open,2,125.0,135,740.982625,729.234876,6,234.02887600000003,66.420792,137,0.296863401459854,273,2.7291517545787545,31
fixed,reader-open,1,219.0,191,116.293083,111.924709,1,6.167791,33.948792,190,0.37378072631578946,390,1.514561723076923,25
fixed,reader-open,2,38.0,28,173.746792,170.358292,1,6.453584,55.98975,23,0.7636121739130435,64,2.43911,25
fixed,reader-back,1,30.0,17,117.645292,117.05404,4,94.460001,14.431792,16,0.2097760625,41,1.278580243902439,1
fixed,reader-back,2,30.0,15,188.765917,183.332459,4,143.717208,31.261583,15,0.38415286666666665,37,2.438472918918919,1
fixed,scroll,1,64.0,45,177.023541,175.661706,4,117.143667,16.427833,50,0.35996404,163,3.004579963190184,52
fixed,scroll,2,59.0,40,221.419583,220.526042,4,142.36962499999998,17.729833,44,0.5250794090909091,150,3.75210414,53
fixed,group-back,1,30.0,15,56.699625,56.567708,0,0,30.456209,14,0.2412382857142857,51,0.6533389215686275,0
fixed,group-back,2,29.0,13,90.12575,88.417334,0,0,54.881917,12,0.4687880833333333,47,1.7811267872340426,0
