variant,iteration,action,p95_ms,frames
fixed-plain,1,reader-open,150,36
fixed-plain,1,reader-back,200,27
fixed-plain,2,reader-open,150,41
fixed-plain,2,reader-back,150,27
fixed-plain,3,reader-open,150,41
fixed-plain,3,reader-back,81,27
fixed-plain,4,reader-open,150,40
fixed-plain,4,reader-back,150,30
fixed-plain,5,reader-open,150,36
fixed-plain,5,reader-back,101,30
fixed-plain,6,reader-open,133,42
fixed-plain,6,reader-back,133,27
baseline,1,reader-open,150,35
baseline,1,reader-back,133,28
baseline,2,reader-open,150,34
baseline,2,reader-back,150,26
baseline,3,reader-open,250,32
baseline,3,reader-back,150,26
baseline,4,reader-open,150,37
baseline,4,reader-back,150,27
baseline,5,reader-open,200,30
baseline,5,reader-back,150,26
baseline,6,reader-open,150,34
baseline,6,reader-back,101,27
